event_id;booking_id;registration_type;email;registered_date;attendance;liste;køn
3667036;2676479;in-person;8a59bffe8d0be137b40e17ebeaccaac3;2021-01-19T14:03:45+01:00;-;deltager;NA
3667036;2676480;in-person;763ac466cbce4131c964e755525182a8;2021-01-19T15:02:48+01:00;-;deltager;NA
3667036;2676481;in-person;4c5d50a50ffa3b162eddd3df181bf29a;2021-01-22T23:50:05+01:00;-;deltager;NA
3667036;2676482;in-person;b3435cdfba5cd8976f0ff8fa1026d0a8;2021-01-23T17:14:03+01:00;-;deltager;NA
3667036;2676483;in-person;548b59047fa539c294f11f42cb75113e;2021-01-24T21:15:46+01:00;-;deltager;NA
3667036;2676484;in-person;750111f8bdd631e0501c53c41ed914a9;2021-01-26T17:18:32+01:00;-;deltager;NA
3667036;2679886;in-person;2a29a33dae69490ae358e8cc0c737e36;2021-01-29T01:17:22+01:00;-;deltager;NA
3667036;2683466;in-person;b837fcc445a9b55fabf042bdd6f49f8d;2021-01-29T15:23:13+01:00;-;deltager;NA
3667036;2684285;in-person;89997c4d0456f7428b401b05f3623358;2021-01-31T10:48:30+01:00;-;deltager;NA
3667036;2685529;in-person;6416789f64a914623776987c6826df52;2021-02-01T09:43:34+01:00;-;deltager;NA
3668825;2629988;in-person;2da6f8ebfb713cc137b72bd010ff2307;2021-01-09T15:24:35+01:00;yes;deltager;NA
3668825;2633553;in-person;09a8a0099c1859cd06f06ef511c0853c;2021-01-11T20:28:10+01:00;yes;deltager;NA
3668825;2634221;in-person;37ee993defbd8f3b96ab2f3e181e6efa;2021-01-12T11:09:52+01:00;yes;deltager;NA
3668825;2644766;in-person;472773665f202af84bd9e9eecff36ec9;2021-01-18T09:37:50+01:00;yes;deltager;NA
3668825;2658448;in-person;a051b2031e1d46ea6e444709e878d18f;2021-01-22T13:29:17+01:00;yes;deltager;NA
3668825;2673473;in-person;16ebe1d24fd4dcfd5a5aa1239e849aec;2021-01-27T17:01:51+01:00;yes;deltager;NA
3668825;2676445;in-person;92478ea19100d555c36b1513baa536eb;2021-01-28T12:35:15+01:00;yes;deltager;NA
3668825;2678499;in-person;2a29a33dae69490ae358e8cc0c737e36;2021-01-28T19:45:09+01:00;yes;deltager;NA
3668487;2679332;in-person;f14bf85769f83a16799e454b8b86b7d4;2021-01-29T11:12:21+01:00;yes;deltager;NA
3668487;2679623;in-person;e7e36c9350752d99439eec1e3401d472;2021-01-29T11:34:35+01:00;yes;deltager;NA
3668487;2679668;in-person;cef77034bfce19294d4ab29e68190499;2021-01-29T11:45:22+01:00;yes;deltager;NA
3668487;2679683;in-person;d74a5821f7997169a3bbaa7800c32ca9;2021-01-29T11:49:01+01:00;yes;deltager;NA
3668487;2680088;in-person;3557541c1ffe940af5903d38d57a39ac;2021-01-29T13:21:44+01:00;yes;deltager;NA
3668487;2690314;in-person;3556028494628bcca11eda461e5ab0dc;2021-02-02T17:34:36+01:00;yes;deltager;NA
3668487;2691744;in-person;0866c5e69f5a2bc71796dd4dbae34233;2021-02-03T10:54:10+01:00;yes;deltager;NA
3668487;2695045;in-person;4590491e65f2af7f8f1f2502f579be2c;2021-02-03T15:30:33+01:00;yes;deltager;NA
