id;title;allday;start;end;description;url_public;url_admin;location_id;location_type;location_name;campus_id;campus_name;category_1;owner_id;owner_name;presenter;calendar_id;calendar_name;calendar_public;calendar_admin;registration;has_registration_opened;has_registration_closed;physical_seats;physical_seats_taken;online_seats;online_seats_taken;seats_taken;wait_list;color;featured_image;more_info;setup_time;teardown_time
3390144;Generelt dataværksted;FALSE;2019-05-24T07:30:00Z;2019-05-24T09:30:00Z;"<p><span style=""font-family: Arial, Helvetica, Verdana; font-size: 12px; background-color: rgb(245, 245, 245);"">Denne gang fokuserer vi ikke p&aring; specielle programmer, men koncentrerer os helt om data og hvad man kan g&oslash;re med dem. Tag dine egne data med, og lad os sammen se hvad vi kan f&aring; ud af dem.</span></p>";https://kubkalender.kb.dk/event/3390144;https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=3390144;4090;0;CSS: 35-3-20 Faculty Lounge;41;KUB Nord - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N;NA;16332;Christian Knudsen;Niels-Ole Prægel;6416;KUB Datalab;https://kubkalender.kb.dk/calendar/datalab;https://kubkalender.kb.dk/admin/calendar/6416;TRUE;TRUE;TRUE;21;1;0;0;1;FALSE;#60B03D;//lcimages-eu.s3.amazonaws.com/data/feat_img/1069/56/1516193911.jpg;NA;0;0
3390143;Generelt dataværksted;FALSE;2019-05-24T10:30:00Z;2019-05-24T12:30:00Z;"<p><span style=""font-family: Arial, Helvetica, Verdana; font-size: 12px; background-color: rgb(245, 245, 245);"">Denne gang fokuserer vi ikke p&aring; specielle programmer, men koncentrerer os helt om data og hvad man kan g&oslash;re med dem. Tag dine egne data med, og lad os sammen se hvad vi kan f&aring; ud af dem.</span></p>

<p><a href=""https://datasprint.kb.dk/registration/"">TILMELDING</a></p>

<p>&nbsp;</p>";https://kubkalender.kb.dk/event/3390143;https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=3390143;0;0;NA;41;KUB Nord - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N;NA;16332;Christian Knudsen;Niels-Ole Prægel;6416;KUB Datalab;https://kubkalender.kb.dk/calendar/datalab;https://kubkalender.kb.dk/admin/calendar/6416;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;#60B03D;//lcimages-eu.s3.amazonaws.com/data/feat_img/1069/56/1516193911.jpg;NA;0;0
