"";"id";"title";"allday";"start";"end";"description";"url_public";"url_admin";"location_id";"location_type";"location_name";"campus_id";"campus_name";"campus_1";"category_id";"category_name";"owner_id";"owner_name";"presenter";"calendar_id";"calendar_name";"calendar_public";"calendar_admin";"registration";"color";"featured_image";"more_info";"setup_time";"teardown_time";"has_registration_opened";"has_registration_closed";"physical_seats";"physical_seats_taken";"online_seats";"online_seats_taken";"seats_taken";"wait_list"
"1";3832898;"Åbent værksted i Labbet / drop in consultations at KUB Datalab";FALSE;"2022-01-05T12:30:00+01:00";"2022-01-05T14:30:00+01:00";"<p>Having problems importing data? Or cleaning it? Is the structure weird, or are you getting strange error messages when you try to fit a model?</p>

<p>Drop in with your data and your problem, and we will do our best to help you. We offer no opinions on what statistical test you should run on your data. But we will get it to work.&nbsp;</p>

<p>No registration required, we try to assist everyone, but if necessary on a &quot;first-come, first-served&quot; basis</p>";"https://kubkalender.kb.dk/event/3832898";"https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=3832898";4360;0;"KUB Nord: Data Lab";41;"KUB Nord - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N";NA;32027;"Datalab";16332;"Christian Knudsen";"Henrik Hornemann & Christian Knudsen";6416;"KUB Datalab";"https://kubkalender.kb.dk/calendar/datalab";"https://kubkalender.kb.dk/admin/calendar/6416";FALSE;"#18E0F2";"https://libapps-eu.s3.amazonaws.com/customers/105/images/boks_til_ku3.jpg";"";0;0;NA;NA;NA;NA;NA;NA;NA;NA
"2";3832898;"Åbent værksted i Labbet / drop in consultations at KUB Datalab";FALSE;"2022-01-05T12:30:00+01:00";"2022-01-05T14:30:00+01:00";"<p>Having problems importing data? Or cleaning it? Is the structure weird, or are you getting strange error messages when you try to fit a model?</p>

<p>Drop in with your data and your problem, and we will do our best to help you. We offer no opinions on what statistical test you should run on your data. But we will get it to work.&nbsp;</p>

<p>No registration required, we try to assist everyone, but if necessary on a &quot;first-come, first-served&quot; basis</p>";"https://kubkalender.kb.dk/event/3832898";"https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=3832898";4360;0;"KUB Nord: Data Lab";41;"KUB Nord - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N";NA;33564;"English";16332;"Christian Knudsen";"Henrik Hornemann & Christian Knudsen";6416;"KUB Datalab";"https://kubkalender.kb.dk/calendar/datalab";"https://kubkalender.kb.dk/admin/calendar/6416";FALSE;"#18E0F2";"https://libapps-eu.s3.amazonaws.com/customers/105/images/boks_til_ku3.jpg";"";0;0;NA;NA;NA;NA;NA;NA;NA;NA
"3";3832899;"Åbent værksted i Labbet / drop in consultations at KUB Datalab";FALSE;"2022-01-12T12:30:00+01:00";"2022-01-12T14:30:00+01:00";"<p>Having problems importing data? Or cleaning it? Is the structure weird, or are you getting strange error messages when you try to fit a model?</p>

<p>Drop in with your data and your problem, and we will do our best to help you. We offer no opinions on what statistical test you should run on your data. But we will get it to work.&nbsp;</p>

<p>No registration required, we try to assist everyone, but if necessary on a &quot;first-come, first-served&quot; basis</p>";"https://kubkalender.kb.dk/event/3832899";"https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=3832899";4360;0;"KUB Nord: Data Lab";41;"KUB Nord - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N";NA;32027;"Datalab";16332;"Christian Knudsen";"Henrik Hornemann & Christian Knudsen";6416;"KUB Datalab";"https://kubkalender.kb.dk/calendar/datalab";"https://kubkalender.kb.dk/admin/calendar/6416";FALSE;"#18E0F2";"https://libapps-eu.s3.amazonaws.com/customers/105/images/boks_til_ku3.jpg";"";0;0;NA;NA;NA;NA;NA;NA;NA;NA
"4";3832899;"Åbent værksted i Labbet / drop in consultations at KUB Datalab";FALSE;"2022-01-12T12:30:00+01:00";"2022-01-12T14:30:00+01:00";"<p>Having problems importing data? Or cleaning it? Is the structure weird, or are you getting strange error messages when you try to fit a model?</p>

<p>Drop in with your data and your problem, and we will do our best to help you. We offer no opinions on what statistical test you should run on your data. But we will get it to work.&nbsp;</p>

<p>No registration required, we try to assist everyone, but if necessary on a &quot;first-come, first-served&quot; basis</p>";"https://kubkalender.kb.dk/event/3832899";"https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=3832899";4360;0;"KUB Nord: Data Lab";41;"KUB Nord - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N";NA;33564;"English";16332;"Christian Knudsen";"Henrik Hornemann & Christian Knudsen";6416;"KUB Datalab";"https://kubkalender.kb.dk/calendar/datalab";"https://kubkalender.kb.dk/admin/calendar/6416";FALSE;"#18E0F2";"https://libapps-eu.s3.amazonaws.com/customers/105/images/boks_til_ku3.jpg";"";0;0;NA;NA;NA;NA;NA;NA;NA;NA
"5";3832900;"Åbent værksted i Labbet / drop in consultations at KUB Datalab";FALSE;"2022-01-19T12:30:00+01:00";"2022-01-19T14:30:00+01:00";"<p>Having problems importing data? Or cleaning it? Is the structure weird, or are you getting strange error messages when you try to fit a model?</p>

<p>Drop in with your data and your problem, and we will do our best to help you. We offer no opinions on what statistical test you should run on your data. But we will get it to work.&nbsp;</p>

<p>No registration required, we try to assist everyone, but if necessary on a &quot;first-come, first-served&quot; basis</p>";"https://kubkalender.kb.dk/event/3832900";"https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=3832900";4360;0;"KUB Nord: Data Lab";41;"KUB Nord - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N";NA;32027;"Datalab";16332;"Christian Knudsen";"Henrik Hornemann & Christian Knudsen";6416;"KUB Datalab";"https://kubkalender.kb.dk/calendar/datalab";"https://kubkalender.kb.dk/admin/calendar/6416";FALSE;"#18E0F2";"https://libapps-eu.s3.amazonaws.com/customers/105/images/boks_til_ku3.jpg";"";0;0;NA;NA;NA;NA;NA;NA;NA;NA
"6";3832900;"Åbent værksted i Labbet / drop in consultations at KUB Datalab";FALSE;"2022-01-19T12:30:00+01:00";"2022-01-19T14:30:00+01:00";"<p>Having problems importing data? Or cleaning it? Is the structure weird, or are you getting strange error messages when you try to fit a model?</p>

<p>Drop in with your data and your problem, and we will do our best to help you. We offer no opinions on what statistical test you should run on your data. But we will get it to work.&nbsp;</p>

<p>No registration required, we try to assist everyone, but if necessary on a &quot;first-come, first-served&quot; basis</p>";"https://kubkalender.kb.dk/event/3832900";"https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=3832900";4360;0;"KUB Nord: Data Lab";41;"KUB Nord - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N";NA;33564;"English";16332;"Christian Knudsen";"Henrik Hornemann & Christian Knudsen";6416;"KUB Datalab";"https://kubkalender.kb.dk/calendar/datalab";"https://kubkalender.kb.dk/admin/calendar/6416";FALSE;"#18E0F2";"https://libapps-eu.s3.amazonaws.com/customers/105/images/boks_til_ku3.jpg";"";0;0;NA;NA;NA;NA;NA;NA;NA;NA
"7";3832901;"Åbent værksted i Labbet / drop in consultations at KUB Datalab";FALSE;"2022-01-26T12:30:00+01:00";"2022-01-26T14:30:00+01:00";"<p>Having problems importing data? Or cleaning it? Is the structure weird, or are you getting strange error messages when you try to fit a model?</p>

<p>Drop in with your data and your problem, and we will do our best to help you. We offer no opinions on what statistical test you should run on your data. But we will get it to work.&nbsp;</p>

<p>No registration required, we try to assist everyone, but if necessary on a &quot;first-come, first-served&quot; basis</p>";"https://kubkalender.kb.dk/event/3832901";"https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=3832901";4360;0;"KUB Nord: Data Lab";41;"KUB Nord - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N";NA;32027;"Datalab";16332;"Christian Knudsen";"Henrik Hornemann & Christian Knudsen";6416;"KUB Datalab";"https://kubkalender.kb.dk/calendar/datalab";"https://kubkalender.kb.dk/admin/calendar/6416";FALSE;"#18E0F2";"https://libapps-eu.s3.amazonaws.com/customers/105/images/boks_til_ku3.jpg";"";0;0;NA;NA;NA;NA;NA;NA;NA;NA
"8";3832901;"Åbent værksted i Labbet / drop in consultations at KUB Datalab";FALSE;"2022-01-26T12:30:00+01:00";"2022-01-26T14:30:00+01:00";"<p>Having problems importing data? Or cleaning it? Is the structure weird, or are you getting strange error messages when you try to fit a model?</p>

<p>Drop in with your data and your problem, and we will do our best to help you. We offer no opinions on what statistical test you should run on your data. But we will get it to work.&nbsp;</p>

<p>No registration required, we try to assist everyone, but if necessary on a &quot;first-come, first-served&quot; basis</p>";"https://kubkalender.kb.dk/event/3832901";"https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=3832901";4360;0;"KUB Nord: Data Lab";41;"KUB Nord - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N";NA;33564;"English";16332;"Christian Knudsen";"Henrik Hornemann & Christian Knudsen";6416;"KUB Datalab";"https://kubkalender.kb.dk/calendar/datalab";"https://kubkalender.kb.dk/admin/calendar/6416";FALSE;"#18E0F2";"https://libapps-eu.s3.amazonaws.com/customers/105/images/boks_til_ku3.jpg";"";0;0;NA;NA;NA;NA;NA;NA;NA;NA
"9";3832902;"Åbent værksted i Labbet / drop in consultations at KUB Datalab";FALSE;"2022-02-02T12:30:00+01:00";"2022-02-02T14:30:00+01:00";"<p>Having problems importing data? Or cleaning it? Is the structure weird, or are you getting strange error messages when you try to fit a model?</p>

<p>Drop in with your data and your problem, and we will do our best to help you. We offer no opinions on what statistical test you should run on your data. But we will get it to work.&nbsp;</p>

<p>No registration required, we try to assist everyone, but if necessary on a &quot;first-come, first-served&quot; basis</p>";"https://kubkalender.kb.dk/event/3832902";"https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=3832902";4360;0;"KUB Nord: Data Lab";41;"KUB Nord - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N";NA;32027;"Datalab";16332;"Christian Knudsen";"Henrik Hornemann & Christian Knudsen";6416;"KUB Datalab";"https://kubkalender.kb.dk/calendar/datalab";"https://kubkalender.kb.dk/admin/calendar/6416";FALSE;"#18E0F2";"https://libapps-eu.s3.amazonaws.com/customers/105/images/boks_til_ku3.jpg";"";0;0;NA;NA;NA;NA;NA;NA;NA;NA
"10";3832902;"Åbent værksted i Labbet / drop in consultations at KUB Datalab";FALSE;"2022-02-02T12:30:00+01:00";"2022-02-02T14:30:00+01:00";"<p>Having problems importing data? Or cleaning it? Is the structure weird, or are you getting strange error messages when you try to fit a model?</p>

<p>Drop in with your data and your problem, and we will do our best to help you. We offer no opinions on what statistical test you should run on your data. But we will get it to work.&nbsp;</p>

<p>No registration required, we try to assist everyone, but if necessary on a &quot;first-come, first-served&quot; basis</p>";"https://kubkalender.kb.dk/event/3832902";"https://kubkalender.kb.dk/aevent.php?c=6416&m=edit&event_id=3832902";4360;0;"KUB Nord: Data Lab";41;"KUB Nord - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N";NA;33564;"English";16332;"Christian Knudsen";"Henrik Hornemann & Christian Knudsen";6416;"KUB Datalab";"https://kubkalender.kb.dk/calendar/datalab";"https://kubkalender.kb.dk/admin/calendar/6416";FALSE;"#18E0F2";"https://libapps-eu.s3.amazonaws.com/customers/105/images/boks_til_ku3.jpg";"";0;0;NA;NA;NA;NA;NA;NA;NA;NA
