filename;year;kursus_id;file_id;tilm_type;Event;Location;Campus;Seats;gruppe;online;from;To;dato
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4218196_20241007125215.csv;2024;4218196;20241007125215;tilmeldt;Introduction to Python II;Lighthouse, Zone 1;KUB Nørre Campus - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N;22;python;FALSE;12:30;15:00;2024-10-04
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4227300_20241105083508.csv;2024;4227300;20241105083508;tilmeldt;Orange - Text and data mining in a user-friendly software;Lighthouse, Zone 1;KUB Nørre Campus - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N;12;orange;FALSE;13:00;15:00;2024-10-22
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4227301_20241118020908.csv;2024;4227301;20241118020908;tilmeldt;Orange - Data Mining for Absolute Beginners;KUB Datalab - Sdr Campus;KUB Søndre Campus, Karen Blixens Plads 7, 2300 Kbh. S;12;orange;FALSE;9:30;11:30;2024-11-11
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4251289_20240923090513.csv;2024;4251289;20240923090513;tilmeldt;Explorative data analysis with R;Lighthouse, Zone 1;KUB Nørre Campus - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N;20;r;FALSE;10:00;12:00;2024-09-17
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4251291_20241202012659.csv;2024;4251291;20241202012659;tilmeldt;R and APIs - Statistics Denmark;Lighthouse, Zone 1;KUB Nørre Campus - Natur og Sundhedsvidenskab, Nørre Allé 49, 2200 København N;20;r;FALSE;10:00;12:00;2024-11-18
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4252262_20240909083741.csv;2024;4252262;20240909083741;tilmeldt;Extra Python 1 - Strings, lists, and loops;KUB Søndre campus: Undervisningslokalet 1. sal;KUB Søndre Campus, Karen Blixens Plads 7, 2300 Kbh. S;20;python;FALSE;9:00;11:00;2024-09-06
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4252273_20241007125255.csv;2024;4252273;20241007125255;tilmeldt;Extra Python 2 - Dataanalysis with Pandas;KUB Søndre campus: Undervisningslokalet 1. sal;KUB Søndre Campus, Karen Blixens Plads 7, 2300 Kbh. S;20;python;FALSE;9:00;11:00;2024-09-27
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4252276_20241007125203.csv;2024;4252276;20241007125203;tilmeldt;Extra Python 3 - Regular Expression;KUB Søndre campus: Undervisningslokalet 1. sal;KUB Søndre Campus, Karen Blixens Plads 7, 2300 Kbh. S;20;python;FALSE;9:00;11:00;2024-10-04
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4253162_20241105083533.csv;2024;4253162;20241105083533;tilmeldt;Text mining with R;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;22;r;FALSE;10:00;12:00;2024-10-25
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4292509_20241202012644.csv;2024;4292509;20241202012644;tilmeldt;Fotogrammetri for begyndere;KUB Datalab - Sdr Campus;KUB Søndre Campus, Karen Blixens Plads 7, 2300 Kbh. S;8;NA;FALSE;9:30;15:30;2024-11-18
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4293305_20241202012602.csv;2024;4293305;20241202012602;tilmeldt;Python and Pandas - Getting Started with Data Analysis;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;25;python;FALSE;12:00;15:00;2024-11-27
data-raw/kursus_tilmeldinger/Tilmeldinger 2024/lc_attendees_4299881_20250113020003.csv;2024;4299881;20250113020003;tilmeldt;R for absolutte nybegyndere;Library Lighthouse, Zone 1;KUB Nørre Campus, Nørre Allé 49, 2200 København N;30;r;FALSE;13:00;15:00;2025-01-07
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4217419_20250217122932.csv;2025;4217419;20250217122932;tilmeldt;Explorative data analysis with R;Library Lighthouse, Zone 1;KUB Nørre Campus, Nørre Allé 49, 2200 København N;20;r;FALSE;10:00;12:00;2025-01-28
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4217425_20250603111518.csv;2025;4217425;20250603111518;tilmeldt;R and APIs - Statistics Denmark;Library Lighthouse, Zone 1;KUB Nørre Campus, Nørre Allé 49, 2200 København N;20;r;FALSE;10:00;12:00;2025-02-28
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4217426_20250603112047.csv;2025;4217426;20250603112047;tilmeldt;Introduction to visualizing with ggplot2 in R;Library Lighthouse, Zone 1;KUB Nørre Campus, Nørre Allé 49, 2200 København N;25;r;FALSE;13:00;15:00;2025-03-04
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4217427_20250603112020.csv;2025;4217427;20250603112020;tilmeldt;Explorative data analysis with R;Library Lighthouse, Zone 1;KUB Nørre Campus, Nørre Allé 49, 2200 København N;20;r;FALSE;13:00;15:00;2025-03-17
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4217428_20250407095244.csv;2025;4217428;20250407095244;tilmeldt;R and APIs - Statistics Denmark;Library Lighthouse, Zone 1;KUB Nørre Campus, Nørre Allé 49, 2200 København N;20;r;FALSE;10:00;12:00;2025-03-28
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4217429_20250603111940.csv;2025;4217429;20250603111940;tilmeldt;Introduction to visualizing with ggplot2 in R;Library Lighthouse, Zone 1;KUB Nørre Campus, Nørre Allé 49, 2200 København N;25;r;FALSE;10:00;12:00;2025-04-09
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4299886_20250227090816.csv;2025;4299886;20250227090816;tilmeldt;R for Absolute Beginners;Library Lighthouse, Zone 1;KUB Nørre Campus, Nørre Allé 49, 2200 København N;30;r;FALSE;9:00;11:00;2025-02-10
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4299887_20250603112037.csv;2025;4299887;20250603112037;tilmeldt;R for absolutte nybegyndere;Library Lighthouse, Zone 1;KUB Nørre Campus, Nørre Allé 49, 2200 København N;30;r;FALSE;9:00;11:00;2025-03-07
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4299888_20250603111919.csv;2025;4299888;20250603111919;tilmeldt;R for Absolute Beginners;Library Lighthouse, Zone 1;KUB Nørre Campus, Nørre Allé 49, 2200 København N;30;r;FALSE;12:30;14:30;2025-04-11
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4299891_20250520073417.csv;2025;4299891;20250520073417;tilmeldt;R for absolutte nybegyndere;Library Lighthouse, Zone 1;KUB Nørre Campus, Nørre Allé 49, 2200 København N;30;r;FALSE;9:00;11:00;2025-05-06
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4299908_20250217122712.csv;2025;4299908;20250217122712;tilmeldt;R for Absolute Beginners - ONLINE;Online course;NA;40;r;TRUE;10:00;12:00;2025-02-03
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4308207_20250603111411.csv;2025;4308207;20250603111411;tilmeldt;NVivo - Cases and Classification in Interview Data;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;22;nvivo;FALSE;12:30;15:00;2025-02-27
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4308216_20250603111952.csv;2025;4308216;20250603111952;tilmeldt;NVivo - Cases and Classification in Interview Data;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;22;nvivo;FALSE;10:00;12:30;2025-04-08
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4308230_20250227090912.csv;2025;4308230;20250227090912;tilmeldt;NVivo for Absolute Beginners;Library Lighthouse, zone 1;KUB Nørre Campus, Nørre Allé 49, 2200 København N;30;nvivo;FALSE;10:00;12:00;2025-02-20
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4308258_20250407095230.csv;2025;4308258;20250407095230;tilmeldt;NVivo for Absolute Beginners;KUB Frederiksberg: Undervisningslokale I61;KUB Frederiksberg, Dyrlægevej 10, 1870 Frederiksberg C;30;nvivo;FALSE;10:00;12:00;2025-03-27
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4308262_20250217122728.csv;2025;4308262;20250217122728;tilmeldt;NVivo for absolutte begyndere;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;25;nvivo;FALSE;10:00;12:00;2025-02-04
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4308265_20250603112033.csv;2025;4308265;20250603112033;tilmeldt;NVivo for absolutte begyndere;KUB Søndre Campus: Undervisningslokalet 1. sal;KUB Søndre Campus, Karen Blixens Plads 7, 2300 Kbh. S;25;nvivo;FALSE;10:00;12:00;2025-03-10
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4309171_20250603111957.csv;2025;4309171;20250603111957;tilmeldt;Automatiseret transskription med programmet Whisper;KUB Søndre Campus: Undervisningslokalet 1. sal;KUB Søndre Campus, Karen Blixens Plads 7, 2300 Kbh. S;22;NA;FALSE;10:00;11:30;2025-04-07
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4330642_20250227090833.csv;2025;4330642;20250227090833;tilmeldt;Text as Data;KUB Datalab - Sdr Campus;KUB Søndre Campus, Karen Blixens Plads 7, 2300 Kbh. S;12;NA;FALSE;9:30;12:00;2025-02-10
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4330643_20250603111945.csv;2025;4330643;20250603111945;tilmeldt;Digital Humanities - Text as Data;KUB Datalab - Sdr Campus;KUB Søndre Campus, Karen Blixens Plads 7, 2300 Kbh. S;12;NA;FALSE;9:30;12:00;2025-04-09
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4330650_20250227091024.csv;2025;4330650;20250227091024;tilmeldt;Harvest data from the web with Python;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;22;python;FALSE;9:30;11:30;2025-02-21
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4330654_20250603112010.csv;2025;4330654;20250603112010;tilmeldt;Python basic -  Harvest data from the web;KUB Søndre Campus: Undervisningslokalet 1. sal;KUB Søndre Campus, Karen Blixens Plads 7, 2300 Kbh. S;22;python;FALSE;9:30;11:30;2025-03-19
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4330668_20250603111929.csv;2025;4330668;20250603111929;tilmeldt;Python basic - Text Processing with Regular Expressions;KUB Datalab - Sdr Campus;KUB Søndre Campus, Karen Blixens Plads 7, 2300 Kbh. S;22;python;FALSE;10:00;12:00;2025-04-11
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4330767_20250227091046.csv;2025;4330767;20250227091046;tilmeldt;Text Mining with Python;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;22;python;FALSE;12:30;15:00;2025-02-21
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4330768_20250603112002.csv;2025;4330768;20250603112002;tilmeldt;Python basic -  Text Mining;KUB Søndre Campus: Undervisningslokalet 1. sal;KUB Søndre Campus, Karen Blixens Plads 7, 2300 Kbh. S;22;python;FALSE;12:30;15:00;2025-03-19
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4330782_20250506114740.csv;2025;4330782;20250506114740;tilmeldt;"Orange; Data Mining for Beginners";Library Lighthouse, zone 1;KUB Nørre Campus, Nørre Allé 49, 2200 København N;12;orange;FALSE;9:30;11:30;2025-04-23
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4330794_20250407095151.csv;2025;4330794;20250407095151;tilmeldt;Text mining and text analysis with R;KUB Datalab - Samf;KUB City Campus, Gothersgade 140, 1123 København K;22;r;FALSE;10:00;12:00;2025-03-24
data-raw/kursus_tilmeldinger/Tilmeldinger 2025/lc_attendees_4330795_20250603111346.csv;2025;4330795;20250603111346;tilmeldt;Automatiseret transskription med programmet Whisper;Library Lighthouse, zone 3;KUB Nørre Campus, Nørre Allé 49, 2200 København N;25;NA;FALSE;11:00;12:30;2025-02-24
